x_center,y_center,lat_center,lon_center,elevation
474475.01,4427525.16,39.99752347592984,-105.2990175424656,1858.8868591318655
474525.01,4427525.16,39.99752498558282,-105.29843181508392,1860.2169895805916
474575.01,4427525.16,39.997526492275824,-105.2978460876581,1851.6778050783598
474625.01,4427525.16,39.99752799600882,-105.29726036018822,1831.5412053571408
474675.01,4427525.16,39.99752949678182,-105.29667463267437,1819.5586617274791
474725.01,4427525.16,39.99753099459484,-105.29608890511662,1818.9077372418392
474775.01,4427525.16,39.99753248944785,-105.29550317751509,1815.1721199701974
474825.01,4427525.16,39.99753398134087,-105.29491744986983,1800.3094878611562
474875.01,4427525.16,39.99753547027389,-105.29433172218094,1793.8740084290762
474925.01,4427525.16,39.997536956246904,-105.29374599444853,1790.752009593973
474975.01,4427525.16,39.99753843925991,-105.29316026667266,1781.0158202038936
475025.01,4427525.16,39.99753991931295,-105.29257453885342,1774.3725224887523
475075.01,4427525.16,39.997541396405964,-105.2919888109909,1778.520473749727
475125.01,4427525.16,39.99754287053899,-105.29140308308519,1778.82350662589
475175.01,4427525.16,39.99754434171201,-105.29081735513637,1779.6328761251586
475225.01,4427525.16,39.99754580992502,-105.29023162714454,1786.687059736232
475275.01,4427525.16,39.997547275178036,-105.28964589910977,1794.1725837837823
475325.01,4427525.16,39.99754873747105,-105.28906017103215,1793.7895224605459
475375.01,4427525.16,39.997550196804056,-105.28847444291176,1790.1121798561094
475425.01,4427525.16,39.997551653177055,-105.28788871474872,1785.0072457505044
475475.01,4427525.16,39.997553106590054,-105.28730298654308,1782.325258964145
473375.01,4427575.16,39.99793999832213,-105.31190558301135,2029.547165354331
473425.01,4427575.16,39.997941573119796,-105.31131985277419,2030.2025524787866
473475.01,4427575.16,39.997943144957446,-105.31073412249098,2031.9091768488665
473525.01,4427575.16,39.997944713835054,-105.3101483921618,2041.4100555649059
473575.01,4427575.16,39.99794627975265,-105.30956266178676,2057.520816356439
473625.01,4427575.16,39.9979478427102,-105.30897693136589,2069.022755836583
473675.01,4427575.16,39.997949402707725,-105.30839120089934,2063.8236641505964
473725.01,4427575.16,39.997950959745225,-105.30780547038717,2059.267641678622
473775.01,4427575.16,39.99795251382269,-105.30721973982946,2048.685486331863
473825.01,4427575.16,39.99795406494013,-105.3066340092263,2030.5063251899053
473875.01,4427575.16,39.99795561309754,-105.30604827857779,2015.400005468061
473925.01,4427575.16,39.99795715829491,-105.305462547884,2012.9318868944708
473975.01,4427575.16,39.99795870053226,-105.30487681714501,2023.6758612951367
474025.01,4427575.16,39.997960239809565,-105.30429108636093,2011.1258918604758
474075.01,4427575.16,39.997961776126836,-105.30370535553185,1978.4041596680108
474125.01,4427575.16,39.99796330948407,-105.30311962465782,1935.0455070229457
474175.01,4427575.16,39.997964839881284,-105.30253389373898,1918.6764145287164
474225.01,4427575.16,39.997966367318455,-105.30194816277536,1919.8738667795583
474275.01,4427575.16,39.99796789179558,-105.30136243176709,1908.4663062365678
474325.01,4427575.16,39.997969413312674,-105.30077670071422,1887.7472671625626
474375.01,4427575.16,39.99797093186973,-105.30019096961688,1878.9124848401243
474425.01,4427575.16,39.99797244746674,-105.29960523847512,1871.5320384951801
474475.01,4427575.16,39.99797396010372,-105.29901950728905,1869.0597914055418
474525.01,4427575.16,39.997975469780656,-105.29843377605873,1853.824919341957
474575.01,4427575.16,39.99797697649756,-105.29784804478427,1839.1572532037098
474625.01,4427575.16,39.99797848025441,-105.29726231346575,1831.9329036094043
474675.01,4427575.16,39.99797998105123,-105.29667658210326,1822.0171273141575
474725.01,4427575.16,39.99798147888799,-105.29609085069688,1810.5271730737916
474775.01,4427575.16,39.99798297376473,-105.2955051192467,1804.875208926882
474825.01,4427575.16,39.997984465681405,-105.2949193877528,1806.2594066216727
474875.01,4427575.16,39.997985954638054,-105.29433365621527,1823.858830241456
474925.01,4427575.16,39.99798744063464,-105.29374792463422,1822.7924925443433
474975.01,4427575.16,39.99798892367119,-105.29316219300969,1801.353842434759
475025.01,4427575.16,39.997990403747686,-105.29257646134181,1773.2245808019456
475075.01,4427575.16,39.99799188086414,-105.29199072963065,1768.7019863345408
475125.01,4427575.16,39.99799335502055,-105.29140499787628,1767.175666555567
475175.01,4427575.16,39.9979948262169,-105.29081926607883,1770.9495472597248
475225.01,4427575.16,39.99799629445321,-105.29023353423834,1772.1144123737934
475275.01,4427575.16,39.99799775972947,-105.2896478023549,1773.9960397593532
475325.01,4427575.16,39.997999222045685,-105.28906207042864,1776.0383965959709
475375.01,4427575.16,39.998000681401834,-105.28847633845962,1775.9196534541313
475425.01,4427575.16,39.99800213779794,-105.28789060644792,1771.6525242449413
475475.01,4427575.16,39.998003591233996,-105.28730487439361,1767.9278749999992
473375.01,4427625.16,39.99839048192205,-105.3119076325506,2019.9358519793468
473425.01,4427625.16,39.9983920567447,-105.31132189846475,2015.2717220956717
473475.01,4427625.16,39.998393628607275,-105.31073616433284,2032.9868719512203
473525.01,4427625.16,39.99839519750977,-105.31015043015496,2050.8286013305196
473575.01,4427625.16,39.9983967634522,-105.30956469593121,2064.0311849056598
