u,v,key,oneway,length,ref,bridge,junction,tunnel,area,geometry
176413045,5085068769,0,False,36.93,,,,,,"LINESTRING (475877.3549879376 4427757.0219688, 475874.43265445146 4427758.773801926, 475871.45004215796 4427760.359339993, 475851.9058863265 4427769.544850242, 475847.6699683465 4427771.600540126, 475844.244304361 4427773.44277599)"
176413045,5087612197,0,True,21.869,,,,,,"LINESTRING (475877.3549879376 4427757.0219688, 475874.4443614205 4427754.389597966, 475871.47787066863 4427750.292316742, 475869.8984044948 4427747.51143739, 475868.51435098314 4427744.441360538, 475867.45575751056 4427741.714325527, 475866.42122245854 4427738.498851479)"
176413057,5085140762,0,False,3.547,,,,,,"LINESTRING (475902.6594061768 4427639.490525026, 475902.6279383122 4427643.031254885)"
176413057,176413058,0,False,49.413,,,,,,"LINESTRING (475902.6594061768 4427639.490525026, 475903.4592908534 4427590.174451668)"
176413057,176483510,0,True,97.40599999999999,,,,,,"LINESTRING (475902.6594061768 4427639.490525026, 475913.43292231136 4427639.733892198, 475927.04926063685 4427640.05707332, 475934.0324030674 4427640.2125700265, 475957.50881270255 4427640.759906745, 475970.3226424343 4427641.052403588, 475995.7454306013 4427641.638108298, 476000.2443721015 4427641.746007367)"
176413058,5085009284,0,False,22.329,,,,,,"LINESTRING (475903.4592908534 4427590.174451668, 475903.57326618093 4427573.3921711)"
176413058,176413057,0,False,49.413,,,,,,"LINESTRING (475903.4592908534 4427590.174451668, 475902.6594061768 4427639.490525026)"
176413058,5087540634,0,False,100.70700000000002,,,,,,"LINESTRING (475903.4592908534 4427590.174451668, 475962.38626265206 4427593.15132806, 475966.85983512865 4427593.325882664, 475983.7626608695 4427593.627687126, 475985.6018000629 4427594.842789329, 475987.1485708656 4427595.381766325, 475988.514715048 4427595.488446675, 475990.2375939689 4427595.027944846, 475992.40253519226 4427593.988892708, 475995.14723931387 4427592.72602911, 475996.9810900529 4427592.265178728, 475998.9280823976 4427592.492119353, 476000.6460320932 4427593.174848127, 476002.76661867544 4427594.3113727)"
176417625,5251006549,0,False,108.879,,,,,,"LINESTRING (476105.5070028426 4429780.707237725, 476001.21171225625 4429752.661077407)"
176417625,395375494,0,False,57.528999999999996,CO 7,,,,,"LINESTRING (476105.52056028275 4429785.021529979, 476103.5896706204 4429792.595406363)"
176419717,1725864729,0,False,3.381,,,,,,"LINESTRING (475014.2681257322 4429233.156695392, 475017.656456693 4429233.201060135)"
176419717,6396762192,0,False,15.628,,,,,,"LINESTRING (475014.2681257322 4429233.156695392, 475013.4654862522 4429246.023296011, 475014.1653755723 4429248.64040591)"
176419717,6396762201,0,False,60.089,,,,,,"LINESTRING (475014.2681257322 4429233.156695392, 474986.4289797103 4429233.248208648, 474954.0600152671 4429233.942997731)"
176419735,176484396,0,False,4.903,,,,,,"LINESTRING (475101.7172640679 4429234.667963058, 475106.59242801473 4429235.273558573)"
176419735,6396762192,0,False,132.141,,,,,,"LINESTRING (475101.7172640679 4429234.667963058, 475101.776590935 4429265.823198597, 475100.6003159669 4429271.487637405, 475097.6256551577 4429275.271102413, 475093.45110250433 4429277.504611353, 475088.6733323474 4429277.964227816, 475078.84721547016 4429274.444679642, 475044.08115813415 4429265.013379945, 475033.48691221356 4429261.496410804, 475021.94330612244 4429254.763808628, 475015.61293343786 4429250.233933899, 475014.1653755723 4429248.64040591)"
176419735,1725864729,0,False,83.922,,,,,,"LINESTRING (475101.7172640679 4429234.667963058, 475093.06946802186 4429233.941534894, 475084.8329567213 4429233.713232729, 475047.2302663673 4429233.7699209675, 475017.656456693 4429233.201060135)"
176425996,176399267,0,False,45.802,,,,,,"LINESTRING (475375.0713911723 4428692.77046254, 475375.0607801852 4428715.856788428, 475377.2674559518 4428738.380978191)"
176426000,4561028792,0,False,49.838,,,,,,"LINESTRING (475377.8569272351 4428841.37946111, 475377.57640337176 4428791.633842037)"
176426000,176487023,0,False,66.099,,,,,,"LINESTRING (475377.8569272351 4428841.37946111, 475311.62332252326 4428840.53973682)"
176426000,8157064852,0,False,52.536,,,,,,"LINESTRING (475377.8569272351 4428841.37946111, 475403.46173783287 4428841.407608833, 475414.55700002774 4428841.3717370005, 475430.4775530224 4428842.285921601)"
176426005,2498567096,0,False,16.313,,,,,,"LINESTRING (475378.35609907506 4428600.08169658, 475378.6051093181 4428616.363383109)"
176426005,8157064851,0,False,49.558,,,,,,"LINESTRING (475378.35609907506 4428600.08169658, 475428.0154996132 4428600.620366373)"
176426005,4041947017,0,False,96.851,,,,,,"LINESTRING (475378.35609907506 4428600.08169658, 475328.25405231444 4428599.911059454, 475325.35176220676 4428599.80948165, 475321.17352984706 4428601.043945772, 475316.8364823584 4428605.941656137, 475314.66814817896 4428621.598533202, 475311.2019143058 4428631.821026561, 475308.12192082294 4428637.447208135)"
176426009,2498567119,0,False,36.956,,,,,,"LINESTRING (475378.4131717456 4428670.450296479, 475379.2224842684 4428656.79568806, 475378.865707619 4428633.588462617)"
176434047,176434053,0,False,91.424,,,,,,"LINESTRING (475249.48555579246 4427997.326464893, 475241.5292496126 4428012.79129502, 475241.3207681378 4428014.301460341, 475239.5687289801 4428024.118826909, 475235.6374417746 4428064.5991916545, 475233.94954471337 4428086.2480662465)"
